first_name	cnt
	2
 	3
 Anna	1
 Franz Xaver	1
 Frieda	1
 Sigmundt	1
 Udalricus	1
				1
(Fötus)	3
(Frühgeburt)	2
(Gaissinger)	1
(Knabe)	87
(Leop.) N.	1
(Mädchen)	67
(Michael) Anton	1
(Nottaufe)	6
(Totgeburt)	54
,	7
.	7
... Johann	1
... Regina Amalia	1
1	10
12	1
15	1
19	1
2	2
4	2
625	1
7	1
73	1
9	1
A	3
Á	1
A  	1
A frat	1
A,	1
A, Maria	1
A.	287
A. 	7
A.   	1
A. Aloysia	1
A. Amalia	2
A. Anastasia	1
A. Antonia	1
A. Barb.	1
A. Barbara	11
A. Benigna	1
A. Cath.	5
A. Cathar.	3
A. Christina	6
A. Christina 	1
A. Christine	2
A. Clara	1
A. Cordula	1
A. Corona	1
A. Cresz.	1
A. Dorothea	1
A. El.	1
A. Eleonore	1
A. Elis.	3
A. Elisa.	1
A. Elisab.	1
A. Elisabeth	7
A. Franziska	5
A. Franziska Theresia	1
A. Frziksa	1
A. Frzka.	1
A. Henrika	1
A. Hildegart	2
A. Jak.	1
A. Joh.	1
A. Josepha	5
A. Juliana	4
A. Ka	1
A. Kath.	27
A. Kath. 	1
A. Kath. Priska 	1
A. Kathar. 	1
A. Katharina	11
A. Katharina Franziska	1
A. Klara	3
A. Kresz.	2
A. M	4
A. M Johanna	2
A. M.	922
A. M. 	15
A. M. Apolonia	1
A. M. Elisabeth	1
A. M. Eva 	1
A. M. Franziska	1
A. M. Frzk.	1
A. M. Johnna	2
A. M. Jos. Apoll.	2
A. M. Josepha	1
A. M. Kathar. 	1
A. M. Katharina	1
A. M. Klara	1
A. M. Kresz.	2
A. M. Ludmilla	1
A. M. Magd.	1
A. M. Magdal. 	1
A. M. Rosalia	4
A. M. Susanna	1
A. M. Th.	2
A. M. Theres	2
A. M. Theresia	3
A. M. Viktoria	1
A. M. Walb. Marg. 	1
A. Magd.	4
A. Mar.	181
A. Margareta	1
A. Margaretha	1
A. Mari	1
A. Maria	830
A. Maria 	4
A. Maria   	2
A. Maria Aloisia	1
A. Maria Aloysia	1
A. Maria Eugenia	1
A. Maria Johanna Josepha	1
A. Maria Katharina	1
A. Maria Klara	1
A. Maria Krescentia Vinzenzia	1
A. Maria Magdalena	3
A. Maria Rosalia	1
A. Martha	1
A. N.	1
A. Regina	2
A. Rosalia	3
A. Sophia	4
A. Sophie	1
A. Susana	1
A. Th.	2
A. Theres	5
A. Theresia	6
A. Ursula	1
A. Victor.	1
A. Walburga	1
A. Waldburg	2
A...	1
A.Barbara	1
A.Euphrosina	2
A.Kath.	1
A.M.	4
A.Margaretha	1
A.Maria	58
A.Regina	2
A.Sarah	1
A.Sophia	1
A.Therese	1
Aa. Christa	2
Aa. Elis.	2
Aa. Helena	1
Aa. Kath.	1
Aa. Kath. 	1
Aa. Kathr.	2
Aa. Klara	2
Aa. M. 	1
Aa. Mar.	2
Aa. Mari.	1
Aa. Maria	1
Aa. Regina	1
Aa. Theresi.	1
Aamalia u.Georg	1
Abba	2
Abdon	5
Abel	1
Abentus	2
Abertivus	3
Abertus	2
Abortus	7
Abr. Joh. Nep.	1
Abraham	672
Abraham Johann	1
Abrahamb	3
Abrahamus	3
Absolon	1
Abt	2
Abton	1
Abundus	1
Abuntantia	1
Abys	1
Achaeius	1
Achat	2
Achat.	1
Achat. Ulrich	1
Achatius	55
Achatz	75
Achatz Paul	1
Achaz	90
Achaz. 	1
Achez	1
Achilles	1
Achilles Rudolf	1
Achilles Thaddäus	1
Achim	3
Ad.	58
Ad. Ed.	1
Ad. Jeh. Er.	1
Ad. Stephan	1
Ada	1
Adal.	5
Adalb.	4
Adalbert	573
Adalbert Eberhard August	1
Adalbert Franz Joseph Spiridion	2
Adalbert Georg	1
Adalbert Heinrich	1
Adalbert Johann Baptist Peter	1
Adalbert Josef	2
Adalbert Joseph	1
Adalbert Leopold	1
Adalbert Ludwig	2
Adalbert Michael	2
Adalbert Otto	1
Adalbert Rudolf	1
Adalbert Stephan	1
Adalbert Theodor	2
Adalbert Wolfgang	1
Adalberta	7
Adalberth	1
Adalbertine	1
Adalbertus	3
Adalr.	1
Adalrich	4
Adalricus	1
Adalwert Joseph Emanuel Leopold	1
Adam	10630
Adam 	7
Adam  	35
Adam   	3
Adam Andreas	2
Adam Anton Karl	1
Adam Christof	1
Adam Christoph	2
Adam Chrystof	1
Adam Elias	1
Adam Ernst	1
Adam Eva	1
Adam Felix	2
Adam Ferdinand	1
Adam Fidelis	1
Adam Franz	1
Adam Franz Xaver	1
Adam Georg	2
Adam Ignaz	2
Adam Johann	6
Adam Josef	3
Adam Joseph	4
Adam Joseph Georg	2
Adam Karl Michael	1
Adam Leonhard	1
Adam Lorenz	1
Adam Maria	1
Adam Mathias	1
Adam Otto	2
Adam Peter	1
Adam Philipp Johann	1
Adam Roman	1
Adam Sebastian	1
Adam Sigismund	1
Adam Simon	1
Adam u.Eva	3
Adam Wilhelm	1
Adam Wilibald	1
Adam Wolfgang	1
Adami	3
Adamus	173
Adamus Mathias	1
Adarich	1
Adauctus	1
Adela	5
Adelbert	16
Adelbert Anton	1
Adelbert Otto	2
Adelburg	1
Adelburga	1
Adele	41
Adele Anna	2
Adele Cäcilia Kunigunde	1
Adele Helene Wilhelmine	1
Adele Johanna	1
Adele Juliana	1
Adele Karolina	1
Adele Katharina Franziska Mathilde	1
Adele Theresia P. 	1
Adelein	1
Adelfrid	2
Adelfried	2
Adelguna	1
Adelgund	4
Adelgunda	1
Adelgunde	37
Adelgunde Klara	1
Adelgundis	2
Adelh.	11
Adelh. 	1
Adelh. Elis.	1
Adelh. Maria	1
Adelha	1
Adelhaid	69
Adelhaid Anna	3
Adelhaide	2
Adelheid	1040
Adelheid Anna	5
Adelheid Anna Theres	1
Adelheid Antonie	1
Adelheid Carolina	1
Adelheid Crescentia Barbara	1
Adelheid Crescenz	1
Adelheid Elisabeth	4
Adelheid Elisabetha	1
Adelheid Elsa	1
Adelheid Franziska Maria	1
Adelheid Helene Maria	2
Adelheid Karolina	2
Adelheid Katharina	1
Adelheid Margareth	1
Adelheid Maria	14
Adelheid Maria Anna	1
Adelheid Ottilie	1
Adelheid Pauline	2
Adelheid Rita	1
Adelheid Rosalie	1
Adelheid Sopie	1
Adelheid Thekla	1
Adelheit	15
Adelherd	2
Adelina	1
Adelinda	1
Adelinde	25
Adelinde Aloisia	1
Adelinde Anna	1
Adelinde Gertraud	1
Adeline	3
Adeline Friederika	1
Adeline Maria	1
Adelka	1
Adella	1
Adelphine	1
Adelrich	1
Adelwart	1
Adem	1
Adilfine	1
Adlbert	5
Adlfried	1
Adlfried Elisabeth	1
Adlgunda	1
Adlhaid	2
Adlhaidt	1
Adlheid	172
Adlheid Katharina	1
Adlheit	2
Adlheit 	1
Adnes	1
Adnr	1
Adola 	1
Adolf	1278
Adolf 	1
Adolf  	63
Adolf   	12
Adolf    	2
Adolf Adalbert Horst	1
Adolf Alfons	2
Adolf Alfred	1
Adolf Alois	5
Adolf Alois Joh. Jos.	1
Adolf Andreas	1
Adolf Anton	2
Adolf Arnold	1
Adolf Augustin	1
Adolf Edmund	2
Adolf Ernst	1
Adolf Erwin	1
Adolf Ferdinand	1
Adolf Franz	3
Adolf Franz Xaver	1
Adolf Friedrich	1
Adolf Frz.	2
Adolf Georg	4
Adolf Gerhard	1
Adolf Günther	1
Adolf Gustav	1
Adolf Hans Georg	1
Adolf Heinrich	7
Adolf Hellmuth	1
Adolf Helmut	2
Adolf Hermann	7
Adolf Hermann Horst	1
Adolf Jakob	1
Adolf Jenz	1
Adolf Joh.	1
Adolf Johann	3
Adolf Jos.	2
Adolf Josef	18
Adolf Josef Alois	1
Adolf Josef Jakob	1
Adolf Joseph	7
Adolf Julius	2
Adolf Karl	9
Adolf Karl Joseph	1
Adolf Konrad	8
Adolf Laurentius	1
Adolf Leander	2
Adolf Ludwig	2
Adolf Luitpold	1
Adolf Manfred	1
Adolf Maria	1
Adolf Markus	1
Adolf Martin	1
Adolf Matthias	2
Adolf Max	4
Adolf Michael	2
Adolf Norbert	1
Adolf Oskar	2
Adolf Oswald	2
Adolf Otto	1
Adolf Raphael	1
Adolf Reinh.	1
Adolf Reinhold	1
