name	cnt
-?-	571
 Aingrüblerin	1
 Scherin	1
(Findling)	1
0berwimmer	2
105	1
17	1
1882	1
2	1
3	1
4	2
8	1
A-pach	1
A...	7
A...Unleserlich	1
Aach	2
Aadenbrunner	1
Aädenperger	1
Aaidnperger	1
Aal	1
Aan	1
Aaron	1
Aas	1
Aasamb	3
Aaßböck	1
Aatlinger	1
Abader	1
Abander	3
Abandter	1
Abanter	1
Abanther	1
Abateh	1
Abauer	2
Abbertssamer	1
Abbinger	3
Abbmaier (Grundner)	1
Abboiger	2
Abboigner	1
Abbrecht 	1
Abbrechtsberger	1
Abbsmair	1
Abbt	7
Abbtmayer	3
Abbtmayr	4
Abbtsmayer	2
Abbtsmayr	1
Abdar-Reza	1
Abdechtinger	1
Abdecker	3
Abdeker	1
Abdekinger	2
Abe	1
Abeck	1
Abeder	1
Abel	167
Äbel	2
Abele	16
Abelein	13
Abeler	1
Abelin	1
Abell	1
Abelmayr	1
Abelzein	1
Abenberger	2
Abendeder	2
Abender	4
Abendt	2
Abendter	1
Abendtmeier	1
Abeneder	1
Abengrueber	1
Abenholtz	1
Abenperg, v. 	1
Abenperger	1
Abensperg	1
Abensperg v.	1
Abensteiner	2
Abenstorfer	2
Abent	3
Abenthum	4
Abents	1
Aber	7
Aberbauer	1
Aberel	32
Aberell	1
Aberer	7
Äberer	4
Aberger	1
Aberham	18
Aberhammer	1
Aberheißniger	1
Aberiel	1
Aberl	12
Äberl	3
Aberle	1
Aberlin	1
Abermüller	2
Äberreiter	1
Äbers	1
Abert	3
Abertshauser	2
Aberzhauser	1
Aberzhaußer	1
Abethe	2
Abfalter	9
Abfelder	1
Abgerer	1
Abholdinger	1
Abhollinger	1
Abhölzer	1
Abicht	1
Abihoff	1
Abinger	12
Äbinger	5
Abiril	3
Abisinger	1
Abl	62
Äbl	1
Abl 	1
Ablafmayer	1
Ablass	1
Ablaßmaier	6
Ablaßmayer	4
Ablaßmayr	1
Ablaßmeier	2
Ablbauer	2
Able	24
Äble	1
Abler	68
Ableuthner	4
Ablin	1
Ablinger	4
Abmahr	1
Abmaier	2
Abmann	1
Abmannshofer	1
Abmayer	1
Abmayr	2
Abmeier	2
Abndseder	1
Abner	1
Abnstein	1
Aboiger	1
Abolger	1
Abonter	1
Abonyi	2
Aboßer	1
Abpoiger	4
Abraham	202
Abrahamb	2
Abrahamin	1
Abrahams	1
Abram	3
Abramseder	1
Abreither	1
Abrel	1
Abresch	1
Abriel	6
Abril	2
Abrioll Dr.	1
Abrmaier	2
Abröl	1
Abröll	3
Abrosi	1
Absam	1
Abschaum	1
Abselberger	1
Abselger	1
Absender	1
Abshoff	1
Absmaier	905
Absmair	62
Absmairin	1
Absmajr	3
Absmann	1
Absmayer	199
Absmayerin	1
Absmayhr	4
Absmayhrin	2
Absmayr	474
Absmayr 	1
Absmayrin	1
Absmeier	283
Absmer	1
Absmeyer	17
Absner	1
Absperger	4
