parish	place
	
	Arbing
	Geisberg
	Hirschbach
	Obernberg
	Tabertshausen
	Triftern
Adldorf	
Adldorf	Abwandten
Adldorf	Ackersberg
Adldorf	Adldorf
Adldorf	Aholming
Adldorf	Ainstorf
Adldorf	Aiterhofen
Adldorf	Altmannshofen
Adldorf	Anglstorf
Adldorf	Annathal
Adldorf	Arnbrink
Adldorf	Arnstorf
Adldorf	Asenbaum
Adldorf	Aspach
Adldorf	Attenberger
Adldorf	Attenkaisen
Adldorf	Attenkeisen
Adldorf	Au
Adldorf	Aufhausen
Adldorf	Berbing
Adldorf	Berg
Adldorf	Bischofsmais
Adldorf	Böglöd
Adldorf	Buch
Adldorf	Buchhofen
Adldorf	Burghausen
Adldorf	Burgstall
Adldorf	Dameckendorf
Adldorf	Danhauser
Adldorf	Deggendorf
Adldorf	Diepoltskirchen
Adldorf	Dorfbach
Adldorf	Dornach
Adldorf	Dummeldorf
Adldorf	Egendorf
Adldorf	Eggendobl
Adldorf	Eggendorf
Adldorf	Eggenfelden
Adldorf	Eggersdorf
Adldorf	Egglham
Adldorf	Egndorf
Adldorf	Eichendorf
Adldorf	Enzerweis
Adldorf	Eschlbach
Adldorf	Ettling
Adldorf	Exing
Adldorf	Feichten
Adldorf	Frauenholz
Adldorf	Freindorf
Adldorf	Ganackersberg
Adldorf	Ganakersberg
Adldorf	Gaßlmann
Adldorf	Gastlmann
Adldorf	Gastorf
Adldorf	Geiersperg
Adldorf	Gergweis
Adldorf	Gmain
Adldorf	Gneiding
Adldorf	Gneidting
Adldorf	Göttersdorf
Adldorf	Grafendorf
Adldorf	Graintz
Adldorf	Grainz
Adldorf	Graneck
Adldorf	Granitz
Adldorf	Greinöd
Adldorf	Grimöd
Adldorf	Grondlhaus
Adldorf	Grub
Adldorf	Grueb
Adldorf	Guföd
Adldorf	Haag
Adldorf	Haasreit
Adldorf	Haid
Adldorf	Haidenburg
Adldorf	Haimhart
Adldorf	Hart
Adldorf	Hartkirchen
Adldorf	Hartkirchen am Inn
Adldorf	Haunerstorf
Adldorf	Hausbach
Adldorf	Hebertsfelden
Adldorf	Heimhart
Adldorf	Henhart
Adldorf	Herblfing
Adldorf	Hermanstorf
Adldorf	Herrmanstorf
Adldorf	Hilgerstorf
Adldorf	Höfa
Adldorf	Höfen
Adldorf	Holzham
Adldorf	Holzhäusern
Adldorf	Hörmannsdorf
Adldorf	Hötzenhub
Adldorf	Hötzenhuber
Adldorf	Hudt
Adldorf	Hueb
Adldorf	Hütt
Adldorf	Indersbach
Adldorf	Isarhofen
Adldorf	Jedersbach
Adldorf	Jederspach
Adldorf	Jezeneck
Adldorf	Jezened
Adldorf	Kammern
Adldorf	Kanzlöd
Adldorf	Kellberg
Adldorf	Keller
Adldorf	Kellerhäuser
Adldorf	Kleigenbach
Adldorf	Klingenbach
Adldorf	Kölblöd
Adldorf	Kröhstorf
Adldorf	Landau
Adldorf	Lapperding
Adldorf	Lappersdorf
Adldorf	Lapperstorf
Adldorf	Lerchenberg
Adldorf	Linda
Adldorf	Lindert
Adldorf	Loderham
Adldorf	Malgerstorf
Adldorf	Marchalkofen
Adldorf	Mariakirchen
Adldorf	Meding
Adldorf	Mettenhausen
Adldorf	Miesing
Adldorf	Miltenberg
Adldorf	Mitterhauser
Adldorf	Mitthaub
Adldorf	Möding
Adldorf	Moos
Adldorf	Muckenthal
Adldorf	Muckenthall
Adldorf	Muggenthal
Adldorf	München
Adldorf	Münchsdorf
Adldorf	Münichsdorf
Adldorf	Neumarkt
Adldorf	Neupachling
Adldorf	Neusling
Adldorf	Niederalteich
Adldorf	Niederhausen
Adldorf	Niederleiten
Adldorf	Niederpöring
Adldorf	Niederrummelsdorf bei Kelheim
Adldorf	Nißlöd
Adldorf	Obergrafendorf
Adldorf	Oberklingenbach
Adldorf	Oberpöring
Adldorf	Ölling
Adldorf	Osterhofen
Adldorf	Osterndorf
Adldorf	Ottmaring
Adldorf	Padersdorf
Adldorf	Padersperg
Adldorf	Paderstorf
Adldorf	Pamling
Adldorf	Pammling
Adldorf	Passau
Adldorf	Paßau
Adldorf	Paßhausen
Adldorf	Paßhauser
Adldorf	Penzling
Adldorf	Perbing
Adldorf	Peterskirchen
Adldorf	Petzing
Adldorf	Pfarrkirchen
Adldorf	Pilsting
Adldorf	Pirnbaum
Adldorf	Pitzling
Adldorf	Plattling
Adldorf	Poldering
Adldorf	Pörndorf
Adldorf	Pözenbach
Adldorf	Prun
Adldorf	Prunn
Adldorf	Puchstall
Adldorf	Putting
Adldorf	Rädlhub
Adldorf	Ramersberg
Adldorf	Ramersdorf
Adldorf	Ramersperg
Adldorf	Rammersberg
Adldorf	Ramsdorf
Adldorf	Ramstorf
Adldorf	Rannerstorf
Adldorf	Raumdobl
Adldorf	Redlhub
Adldorf	Reicherstorf
Adldorf	Reichsdorf
Adldorf	Reichstorf
Adldorf	Reispach
Adldorf	Reit
Adldorf	Rengerstorf
Adldorf	Rengwartling
Adldorf	Reut
Adldorf	Reuth
Adldorf	Rimbach
Adldorf	Rohrbach
Adldorf	Rotta
Adldorf	Salzberg
Adldorf	Sammertshausen
Adldorf	Sattlern
Adldorf	Schlipfing
Adldorf	Schmiedorf
Adldorf	Schönberg
Adldorf	Schwaig
Adldorf	Schwarzholz
Adldorf	Simbach
