profession	cnt
 	510
  	1
 1/2 Bauer	1
 cribrarius	1
 prakt. Arzt	1
,ü	1
@	425
@ 	2
@ des kayserl. General graf.Minnischen R	1
@ filia	1
@ mercator	1
@ Paur	1
@99	6
@achtzetlschreiber	1
@Administrator	1
@adronsquartiermeister	3
@advocat	1
@agkhner	1
@agner	1
@ammer	1
@annigerskind	1
@arbeiter	1
@ärber	1
@arius	1
@asaviensis	2
@ator	1
@aufschlager	1
@bauer	1
@cariatus	1
@cator	1
@comissarius	1
@director	1
@egtopaeus	1
@eichmacher	1
@ematrix	1
@erarius	4
@erstochter	1
@essor	2
@estio	1
@etrix	1
@factor	2
@gartner	1
@Gerichtshalter	1
@gerichtsnotarius	1
@grapha	1
@herr	1
@hospes	1
@ilpfeiffer	1
@inbler	1
@isinierer	1
@isseinnehmer	1
@isseinnehmerstochter	1
@keslschmidt	1
@knecht	1
@köchin	1
@llus	1
@macher	2
@magister	1
@maister	2
@man	1
@mann	1
@meister	1
@miller	2
@müller	1
@nifaber	1
@onarius	1
@onofactor	2
@onseder Sohn	1
@ourier	1
@pächter	1
@paur	1
@petter	2
@pindl	1
@preu	1
@procurator	1
@rari	1
@rath	1
@rgl	1
@richter	5
@rnarius	1
@ronseder Sohn	1
@rusticus	1
@schiffer	3
@schmidt	2
@schmit	1
@schneider	1
@schreiber	1
@schüffer	1
@sohn	1
@steher	1
@steig 	1
@tochter	2
@tor	2
@urarius	1
@verwalter	1
@wäscherin	1
+	3
+lederer	1
1	2
1. Bezirksamtschreiber	1
1. Bezirksamtsschreiber	1
1. Ehemann	1
1/16 Bauer	2
1/16 Gütler	4
1/16 Gütlerin	1
1/16 Gütlerstochter	1
1/16 Hausler	1
1/16 ler	1
1/2 11 Uhr Meßleser	1
1/2 Bauer	1
1/2 Bauer 	3
1/2 Bauerssohn	2
1/2 Bauerstochter	10
1/2 Hausbesitzer	13
1/2 Hausbesitzerin	2
1/2 Häuslbesitzer	1
1/2 Hofbauer	2
1/3 Bauer	1
1/4-Reitermairhofsbesitzer	1
1/4 Bauer	37
1/4 Bauerssohn	1
1/4 Bauerstochter	4
1/4 Bäurin	1
1/4 colonus	2
1/4 Gutsbesitzer	1
1/4 Gutsbesizer	1
1/4 Hausbesitzer	1
1/4 Häusler	3
1/4Bauer	2
1/4tel Bauer	1
1/4tel Höfler	2
1/6 Bauer	1
1/8-Bauerstochter	1
1/8-Söldner	2
1/8 Bauer	11
1/8 Bauerstochter	1
1/8 Gütlbesitzer	1
1/8 Gütler	5
1/8 Gütlerin	1
1/8 ler	1
1/8tel-Hofbesitzer	1
1/8tel Bauer	2
1/8tel Söldner	1
10	1
15	1
1791	2
2. Meßner	1
25	1
26	1
3/4 Bauer	2
3/4 Gutsbesizer	1
31	1
4tl colonus	1
7	1
8tler	1
A consiliis	8
A servitiis	2
Abba@	1
Abdecker	9
Abdeckerin	3
Abdeckerknecht	1
Abdeckersgattin	1
Abdeckersknecht	2
Abdeckerssohn	1
Abdeckerstochter	10
Abdeckher	13
Abdeckherkhnecht	1
Abdeckhersknecht	1
Abdeckherssohn	1
Abdeckherstochter	1
Abdeker	1
Abdekerssöhnchen	1
Abdekerstochter	2
Abdekher	26
Abdekher khnecht	1
Abdekher Khnecht	1
Abdekher Knecht	1
Abdekherin	3
Abdekherknecht	1
Abdekhers Sohn	2
Abdekhers Tochter	1
Abdöckher	4
Abdöckhers Sohn	1
Abdökher	1
Abdökherkhnecht	1
Aberlbauer	2
Abfallergütler	1
Abgartner	1
Abgeordneter 	1
Abgesandter	1
Abierbrauer	1
Ablösbahnwärter	1
Ablösbahnwärterstochter	1
Ablöswärter	32
Abt	1
Abtöckher	4
Accessirt	1
Accessist	4
Acceßist	1
Acciieinnehmerstochter	1
Accise- u. Lottoeinnehmer	1
Accise- und Lotteinnehmer	1
Accise-Einnehmerssöhlein	1
Accise-Einnehmerstochter	1
Acciseeinnehmerstochter	1
Acciseinnehmer	1
Acciseinnehmerssohn	1
Accisseinnehmer	7
Accola	1
Accordant	1
Achbaur	1
Achfeldnerbauer	1
Achfeldnerin	1
Achingerbauer	1
Achtelhofbesitzer	1
Achtelhöfler	1
Achtlbauer	3
Achtlbauerstochter	1
Achtlsöldner	1
Acicularius	1
Ackersmann	1
Actlis. Tabellio@99	1
Actualis	1
Actuar	8
Actuartochter	1
Ad@us	1
Adalerbauerstochter	1
Adambäckertochter	1
Adamhuber	1
Adammayrbauer	1
Adammayrbauer 	1
Adammayrbauersohn	1
Adammayrbauerstochter	1
Adelkindbauer	2
Adelkindbauerstochter	1
Adelsberger	1
Adenleitner	1
Aderbräu	1
Adermaieraustragsbauer	1
Adermaierbauer	2
Adermairbauer 	1
Adermairbäuerin	2
Adermairbauerssohn	1
Adermauerbauerswittwe	1
Adiunctus	1
Adiutant	11
Adiutor	1
Adjunctus	1
Adjunkt	1
Adjunktenstochter	1
Adjutant	7
Adlödlergütlerstochter	1
Adlsperger	4
Administrator	11
Administrator hospitalis	1
Administrator vulgo Verwalter	1
Administratsdiener	1
Adobtivtochter	1
Adoptivsohn	1
Adoptivtochter	4
Adpariator	1
Adstant	1
Adstant  	18
Adstant@99	1
Adultora	1
Advocat	30
Advocatin	1
Advocato @	1
Advocatus	19
Advokat	33
Advokatenstochter	3
Advokatentochter	1
Aedermüllersgattin	1
Aedicularius	18
Aeditimus@99	1
Aeditua	12
Aedituarius	1
Aeditui filius	21
Aeditui frater	3
Aeditui servus	3
Aedituissa	1
Aedituus	8038
Aedituus parochialis	4
Aediuus	1
Aeginopola	1
Aenmaier	1
Aenmaierin	1
Aequilibrist	1
Aerifaber	1
Aeropeus	1
Aerrarius	1
Agent	3
Agnus dei Fasser	1
Agnus Dei Fasser	2
Agnus Dei Fasserin	1
Agnus Dei Macher	8
Agre	4
Agricola	511
Agrigola	1
Agstorferhäusler	1
Ahelbauer	1
Ahusbe	1
Aichbauer	1
Aichbauerstochter	1
Aichberger	2
Aichbergerbauer	1
Aichbichler	1
Aichbointnertochter	1
Aichenbauer	1
Aicher	16
Aicher Bauerstochter	1
Aicherbauer	10
Aicherbauerstochter	1
Aicherbauerswittwe	1
Aicherhauser	1
Aicherin	1
Aichersohn	1
Aichertochter	1
Aichinger	3
Aichingerbauer	2
Aichingerhäusler	1
Aichingertochter	2
Aichmiller	1
Aichmühler	2
Aichmühlertochter	1
Aichmüller	10
Aichmüllerin	1
Aichpointner	3
Aichstöckl	1
Aidnerbauerswittwe	2
Aigenbauerstochter	1
Aigengruberbauer	1
Aiger	1
Aigner	41
Aigner 	9
Aignerbauer	23
Aignerbäuerin	3
Aignerbauerntochter	1
Aignerbauerstochter	1
Aignerbauertochter	1
Aignergütler	3
Aignergütlerstochter	1
Aignergütlertochter	1
Aignermühler	1
Aignermühlerinn	1
Aignermühlersohn	2
Aignersbauerssohn	1
Aignersohn	2
Aignersöldner	1
Aignertochter	9
Aignerwitwe	1
Aigngruber	1
Aindl	6
Aindlbauerstochter	1
Aindlin	1
Aingrubertochter	1
Ainsieglbauer	1
Ainspänninger	1
Akermann	1
Akermannsohn	1
Akkordant	3
Akkordantenstochter	1
Akkordantestochter	1
Aktuar	10
Aktuarskind	1
Albae cervisiae hospes	1
Albanbauer	5
Albani	2
Albanigütler	1
Albanitochter	2
Albeingütler	1
Alber	7
Alberbauer	7
Alberbäuerin	1
Alberer	2
Albererbauer	1
Albersperger	1
Albrecht	1
Alenda 	1
Alendarius	9
Alendus	4
Alendus@99	1
Alimentaria	3
Alimentarius	11
Alimentarius rusticus	1
Ällbrenner	1
Allmosenpfründnerin	4
Allvischhandler	1
Almannsberger	2
Almosenpfründerin	1
Almosenpfründner	1
Almosenpfründnerin	1
Alt- und Neuöttinger Bote	1
Altenöetingerboth	1
Altenpuchner	1
Alter Austrägler	1
Alter Bauer	2
Alter Hofpauern Sohn	1
Alter Huber	1
Altfalterer	1
Altfaltererbauer	1
Altfalterstochter	1
Altfiehrer	1
Altist	13
Altista	6
Altmansberger	1
Altöttinger Bote	2
